Name,Latitude,Longitude,Country
Ceduna,-32.1167,Australia
Santa Rosa de Calamuchita,-32.0667,Argentina
Diamante,-32.0667,Argentina
Scone,-32.0483,Australia
Rio Grande,-32.035,Brazil
Crespo,-32.0333,Argentina
Oliva,-32.0333,Argentina
Galvez,-32.0333,Argentina
Sao Jose do Norte,-32.015,Brazil
Coronda,-31.9667,Argentina
Perth,-31.9559,Australia
Broken Hill,-31.95,Australia
Villa Dolores,-31.9333,Argentina
Los Vilos,-31.9167,Chile
Oncativo,-31.9167,Argentina
Taree,-31.9,Australia
Queenstown,-31.9,South Africa
Viale,-31.8667,Argentina
Villaguay,-31.85,Argentina
Pelotas,-31.7719,Brazil
Salamanca,-31.7667,Chile
Capao do Leao,-31.7628,Brazil
Tacuarembo,-31.7333,Uruguay
San Carlos Centro,-31.7333,Argentina
Parana,-31.7331,Argentina
Pilar,-31.6833,Argentina
Santo Tome,-31.6667,Argentina
